Year, January, February, March, April, May, June, July, August, September, October, November, December, Total
2003,0.00,0.56,0.11,-0.33,-0.22,0.34,0.22,0.00,-0.11,0.00,-0.22,0.78,1.12
2004,0.00,0.22,0.33,0.33,0.22,0.00,0.22,0.11,-0.22,0.11,-0.22,1.10,2.22
2005,-0.76,0.44,0.44,-0.22,0.22,0.11,0.43,0.11,0.11,0.11,-0.32,0.76,1.41
2006,-0.32,0.43,0.00,0.32,0.00,0.21,0.43,-0.21,-0.32,0.11,0.00,0.74,1.39
2007,0.00,0.42,0.21,0.52,0.00,0.00,0.52,-0.10,0.21,0.21,0.52,0.62,3.17
2008,-0.31,0.41,0.51,-0.20,0.61,0.20,0.61,-0.30,-0.10,-0.20,-0.51,0.41,1.13
2009,-0.51,0.61,-0.20,0.10,-0.10,0.30,0.00,0.20,-0.30,0.00,-0.10,0.81,0.81
2010,-0.60,0.40,0.50,0.10,-0.10,0.00,0.20,0.10,-0.10,0.10,0.10,0.60,1.31
2011,-0.20,0.60,0.59,0.00,0.00,0.10,0.20,0.10,0.20,0.00,0.20,0.19,1.98
2012,-0.10,0.68,0.58,-0.19,0.00,-0.19,0.39,0.38,0.10,0.00,0.10,0.29,2.04
2013,-0.48,0.57,0.48,-0.47,0.38,0.09,0.47,0.00,0.00,-0.19,0.19,0.38,1.43
2014,-0.56,0.47,0.28,-0.19,-0.09,0.28,0.28,0.00,0.00,-0.28,0.00,0.00,0.19
2015,-1.03,0.85,0.47,0.00,0.09,-0.09,0.19,0.00,-0.19,0.00,0.09,-0.09,0.28
2016,-0.84,0.38,0.75,-0.37,0.28,0.09,0.28,0.00,0.09,0.19,0.09,0.74,1.68
2017,-0.64,0.65,0.18,0.00,-0.18,0.18,0.37,0.09,0.09,0.00,0.27,0.64,1.65
2018,-0.72,0.46,0.36,0.00,,,,,,,,,0.09
